english|russian
GRACE give sb a month's/a week's/two weeks', etc. grace The bank gives customers a week's grace before charging a late fee.|ГРАЦИЯ давать кому-л. отсрочку на месяц/неделю/две недели и т. п. Банк дает клиентам отсрочку на неделю, прежде чем взимать штраф за просрочку.
APPREHENSIVE  I've invited a lot of people to the party, but I'm a little apprehensive that no one will come.|ОПАСЕНИЯ  Я пригласил на вечеринку много людей, но немного опасаюсь, что никто не придет.
IMPERTINENT I hope he didn't think I was being impertinent when I asked him about his private life.|ДЕРЗКИЙ Надеюсь, он не посчитал меня дерзкой, когда я спросила его о личной жизни.
CHERISH  Freedom of speech is a cherished (= carefully protected) right in this country.|ЛЕЛЕЯТЬ  Свобода слова - заветное (= тщательно охраняемое) право в этой стране.
CONCEIVE  [ + that ] I find it hard to conceive (= it is too shocking to imagine) that people are still treated so badly.|ЗАЧАТЬ РЕБЕНКА  [ + that] I find it hard to conceive (= это слишком шокирующе, чтобы представить) that people are still treated so badly (что с людьми по-прежнему обращаются так плохо).
SUPERSTITION Superstitious baseball players will wear the same shirt every day when they are on a hitting streak.|СУЕВЕРИЕ Суеверные бейсболисты будут носить одну и ту же футболку каждый день, когда у них идет полоса ударов.
CONJUNCTION  There is a team of writers working in conjunction (with each other) on the book.|СВЯЗЬ  Над книгой работает команда писателей в связке (друг с другом).
CONVICT [ T ] There might not have been enough evidence to convict him.|КАТОРЖНИК [Возможно, улик было недостаточно, чтобы осудить его.
TRANSIENT  The city has a large transient population (= many people who are living in it only temporarily).|ПЕРЕХОДНЫЙ  В городе много переходного населения (= много людей, которые живут в нем только временно).
ARBITRARY  Did you have a reason for choosing your destination or was it arbitrary?|ПРОИЗВОЛЬНЫЙ  Были ли у вас причины для выбора места назначения или это был произвол?
DEVIATION In a recent analysis of local temperature changes, Reno ranked first by amount of deviation from the 30-year average.|ОТКЛОНЕНИЕ В недавнем анализе изменений местной температуры Рино занял первое место по величине отклонения от 30-летнего среднего значения.
SURVEILLANCE The police have kept the nightclub under surveillance because of suspected illegal drug activity.|НАБЛЮДЕНИЕ Полиция взяла ночной клуб под наблюдение из-за подозрений в незаконном обороте наркотиков.
ENNUI The whole country seems to be affected by the ennui of winter.|ENNUI Кажется, вся страна охвачена зимней тоской.
BLATANT  The whole episode was a blatant attempt to gain publicity.|ВОПИЮЩИЙ  Весь этот эпизод был откровенной попыткой получить известность.
REPENT He repented (of his sins) just hours before he died.|КАЯТЬСЯ Он покаялся в своих грехах за несколько часов до смерти.
SANCTIFY a practice sanctified by many years of tradition|ОСВЯТИТЬ практика, освященная многолетними традициями
ENDEAVOUR feat of endeavour Crossing the North Pole on foot was an amazing feat of human endeavour.|СТАРАТЬСЯ Пересечение Северного полюса пешком - удивительный подвиг человека.
AVERSION  Greed is my pet aversion (= the thing I dislike most of all).|ОТВРАЩЕНИЕ  Жадность - это мое отвращение (= то, что я не люблю больше всего).
ANIMOSITY  The European Community helped France and Germany forget the old animosities between them.|ВРАЖДЕБНОСТЬ  Европейское сообщество помогло Франции и Германии забыть о старой вражде между ними.
DUBIOUS dubious distinction Ruth Ellis has the dubious (= bad) distinction of being the last woman to be hanged in Britain.|СОМНИТЕЛЬНЫЙ сомнительное отличие Рут Эллис имеет сомнительное (= плохое) отличие - она была последней женщиной, повешенной в Великобритании.
FELICITY Her article contained one or two verbal felicities that will stay in my mind for years.|ФЕЛИСИТИ Ее статья содержала одну или две словесные прелести, которые останутся в моей памяти на долгие годы.
DIRE dire consequences This decision will have dire consequences for local people.|DIRE Страшные последствия Это решение будет иметь страшные последствия для местных жителей.
PEST common pests such as rats, mice, or cockroaches|ВРЕДИТЕЛЬ распространенные вредители, такие как крысы, мыши или тараканы
AID appeal for/ask for/seek aid The government has already appealed for 800,000 tonnes of food aid to feed its starving population.|ПОМОЩЬ призывать/просить/искать помощь Правительство уже обратилось за продовольственной помощью в размере 800 000 тонн, чтобы накормить голодающее население.
ACQUAINTANCE on further acquaintance I wasn't sure about Darryl when I first met her, but on further acquaintance I rather like her.|ЗНАКОМСТВО При дальнейшем знакомстве я не был уверен в Дэррил, когда впервые встретил ее, но при дальнейшем знакомстве она мне понравилась.
COLLATERAL collateral relative We assume that most children grow up in households with adult lineal relatives (parents and grandparents) and/or with adult collateral relatives (aunts, uncles, cousins).|ЗАЛОГ Мы предполагаем, что большинство детей растут в семьях, где есть взрослые родственники по прямой линии (родители, бабушки и дедушки) и/или взрослые родственники по боковой линии (тети, дяди, двоюродные братья и сестры).
FRENZY work yourself into a frenzy The audience worked themselves into a frenzy as they waited for her to come on stage.|НЕИСТОВСТВО Довести себя до исступления Зрители довели себя до исступления, ожидая ее выхода на сцену.
DILIGENT diligent in Their lawyer was extremely diligent in preparing their case.|УСЕРДНЫЙ Их адвокат очень старательно готовил их дело.
DIM [ I ] In the middle of the storm, the lights suddenly dimmed.|DIM [В разгар шторма свет внезапно померк.
TOUGH-LUCK "They lost a lot of money on their investment." "Tough luck - they should have been more careful."|НЕ ПОВЕЗЛО "Они потеряли много денег на своих инвестициях". "Не повезло - им следовало быть осторожнее".
STATUS-QUO Are you in favor of statehood, independence, or the status quo for Puerto Rico?|СТАТУС-КВО Вы выступаете за государственность, независимость или за сохранение статус-кво для Пуэрто-Рико?
HATCH He hatched a plot to forge documents that would embarrass the company.|ЛЮК Он задумал подделать документы, которые поставили бы компанию в неловкое положение.
DECOY Flying French colours, the ship tacked back and forth, trying to decoy the French ship into the harbour.|ПРИМАНКА Под французскими знаменами корабль ходил галсами взад и вперед, пытаясь заманить французское судно в гавань.
PRECEDENCE The cases led to a debate about whether human rights should sometimes take precedence over national security.|ПРИОРИТЕТ Эти дела вызвали дискуссию о том, должны ли права человека иногда превалировать над национальной безопасностью.
HIATUS The company expects to resume production of the vehicle again after a two-month hiatus.|ХИАТУС Компания рассчитывает возобновить производство автомобиля после двухмесячного перерыва.
